"FilerEIN","FilerName1","TitleTxt","PersonNm","salutation","suffix","first_name","last_name","PRE","POST","FormYr","N","complete.panel","TOTCOMP","gender","TYPE","BASELINE.MALE","BASELINE.FEMALE","GEN.CHANGE","pre","post","male","GENDER.PRE","GENDER.POST","pre.male","post.male","NTEE1","HEALTH","EDU","HOSP","UNIV","TOTEMPLOYEE","TOTVOLUNTEERS","TOTNETASSETSBEGYEAR","TOTNETASSETSENDYEAR","TOTLIABNABEGYEAR","TOTLIABNAENDYEAR","CONTRIBPRIOR","CONTRIBCURRENT","GROSSRECEIPTS","TOTFUNDEXP","PSRPRIOR","PSRCURRENT","TOTALREVCURRENT","TOTALREVPRIOR","INVINCCURRENT","INVINCPRIOR","SALARIESPRIOR","SALARIESCURRENT","TOTALEXPPRIOR","TOTALEXPCURRENT","REVLESSEXPPRIOR","REVLESSEXPCURRENT","TOTALASSETSBEGYEAR","TOTALASSETSENDYEAR","TOTALLIABBEGYEAR","TOTALLIABENDYEAR","NETASSETSBEGYEAR","NETASSETSENDYEAR","CASHBEGYEAR","CASHENDYEAR","SAVINVBEGYEAR","SAVINVENDYEAR","TOTALPROGSERVEXP","Trustee","TRUST","AvgHrs","RptCmpOrg","RptCmpRltd","OtherComp","totalComp","FISYR","inf.factor"
"208610932","PARAGON FOUNDATION OF PALM BEACH COUNTY","President","PAMELA MORRISON","","","PAMELA","MORRISON","PRE","",2010,1,TRUE,114428,"F","F-F",0,1,0,1,0,0,"F","F",0,0,"B",0,1,0,0,"3",NA,"3847336","2382318","3857437","2389189","7204","12752","14302","7907","1750","750","14302","25697","800","16743","153015","169114","570603","1479320","-544906","-1465018","3857437","2389189","10101","6871","3847336","2382318","472432","51584","0","0","1178180",0,0,40,100818,0,0,100818,"2010",1.135
"208610932","PARAGON FOUNDATION OF PALM BEACH COUNTY","President","PAMELA STEWART","","","PAMELA","STEWART","","POST",2012,1,TRUE,86633,"F","F-F",0,1,0,0,1,0,"F","F",0,0,"B",0,1,0,0,"3",NA,"1729533","813615","1740872","823130","5084","305000","359352","0","500","0","359352","64060","54352","58476","148897","136275","716845","1275270","-652785","-915918","1740872","823130","11339","9515","1729533","813615","72700","35870","0","270053","972879",0,0,40,79699,0,0,79699,"2012",1.087
"208670761","OPENCAPE CORPORATION","CHIEF EXECUTIVE OFFICER","DANIEL R VORTHERMS","","","DANIEL","VORTHERMS","PRE","",2014,1,TRUE,162942,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"S",0,0,0,0,"4","0","35242190","32669198","36019224","32776305","11039528","1257107","1259071","0","0","0","1259071","11042395","1964","2867","441029","374447","1955760","3832063","9086635","-2572992","36019224","32776305","777034","107107","35242190","32669198","1027473","681097","0","0","0",0,0,40,132076,0,22959,155035,"2014",1.051
"208670761","OPENCAPE CORPORATION","EXECUTIVE DIRECTOR","STEVEN JOHNSTON","","","STEVEN","JOHNSTON","","POST",2016,1,TRUE,156601,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"S",0,0,0,0,"8","0","30235461","32197900","30353056","32778557","1433482","6132171","6134221","0","0","0","6134221","1435304","2050","1822","424066","382565","3869041","4171782","-2433737","1962439","30353056","32778557","117595","580657","30235461","32197900","87369","105666","714730","427264","0",0,0,40,136900,0,14552,151452,"2016",1.034
"208672843","NETROOTS FOUNDATION","EXECUTIVE DI","RAVEN BROOKS","","","RAVEN","BROOKS","PRE","",2014,1,TRUE,119286,"F","F-M",0,1,1,1,0,0,"F","M",0,0,"A",0,0,0,0,"5","8","205552","595803","212636","601002","420956","1665683","1667268","798","13304","1496","1667268","434260","0","0","120420","348038","236274","1277017","197986","390251","212636","601002","7084","5199","205552","595803","212636","601002","0","0","1180258",0,0,55,0,113498,0,113498,"2014",1.051
"208672843","NETROOTS FOUNDATION","EXECUTIVE DI","ERIC THUT","","","ERIC","THUT","","POST",2016,1,TRUE,90992,"M","F-M",0,1,1,0,1,1,"F","M",0,1,"A",0,0,0,0,"0","6","514930","229421","522127","229421","956556","399316","508723","0","460","58583","508723","958355","0","0","218500","0","1039228","794702","-80873","-285979","522127","229421","7197","0","514930","229421","522127","229421","0","0","757540",0,0,55,0,88000,0,88000,"2016",1.034
"208738578","FRESNO ACADEMY OF CIVIC AND","EXECUTIVE DIR/PRINCIPAL","DAVID CHILDERS","","","DAVID","CHILDERS","PRE","",2011,1,TRUE,104235,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"W",0,0,0,0,"30","15","19875","33949","228814","169021","683540","1102044","1102044","0","0","0","1102044","683581","0","41","459619","572182","809697","1087970","-126116","14074","228814","169021","208939","135072","19875","33949","0","0","72100","97182","585406",0,0,40,93150,0,0,93150,"2011",1.119
"208738578","FRESNO ACADEMY OF CIVIC AND","EXECUTIVE DIR/PRINCIPAL","STEPHEN MORRIS","","","STEPHEN","MORRIS","","POST",2013,1,TRUE,68357,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"W",0,0,0,0,"54","0","-198511","-280729","583431","353224","1221892","1341410","1341713","0","0","0","1341713","1221892","303","0","742472","729457","1454352","1423931","-232460","-82218","583431","353224","781942","633953","-198511","-280729","0","0","229033","137742","823076",0,0,40,64125,0,0,64125,"2013",1.066
"208780315","Houston Christian Foundation dba","Pres to June","Peter Forbes","","","PETER","FORBES","PRE","",2014,1,TRUE,165380,"M","M-M",1,0,0,1,0,1,"M","M",1,0,"X",0,0,0,0,"9","1","533422","307342","536632","312094","319951","48616","598659","0","497967","548289","598659","819920","1754","2002","395718","588421","730595","824739","89325","-226080","536632","312094","3210","4752","533422","307342","17376","17530","446335","215429","592354",0,0,40,139296,0,18059,157355,"2014",1.051
"208780315","Houston Christian Foundation dba","President","Waters Davis","","","DAVIS","WATERS","","POST",2016,1,TRUE,212812,"M","M-M",1,0,0,0,1,1,"M","M",0,1,"X",0,0,0,0,"6","1","237421","302262","238702","317718","63886","184480","905625","0","751655","720828","905625","815953","317","412","619233","625777","885875","840784","-69922","64841","238702","317718","1281","15456","237421","302262","38565","45895","82005","101141","610815",0,0,40,183259,0,22555,205814,"2016",1.034
"208803335","NEVADA INSTITUTE FOR RENEWABLE ENERGY COMMERCIALIZATION","PRESIDENT AND CEO","JAMES CROCE","","","JAMES","CROCE","PRE","",2010,1,TRUE,323475,"M","M-M",1,0,0,1,0,1,"M","M",1,0,NA,0,0,0,0,"5","0","65476","8248","117594","222889","240909","1060561","1091080","10902","0","30386","1091080","240999","133","90","135958","584288","219161","1148308","21838","-57228","117594","222889","52118","214641","65476","8248","117594","331","0","0","864169",0,0,50,285000,0,0,285000,"2010",1.135
"208803335","NEVADA INSTITUTE FOR RENEWABLEENERGY COMMERCIALIZATION","President and CEO","Walter Borland","","","WALTER","BORLAND","","POST",2012,1,TRUE,163050,"M","M-M",1,0,0,0,1,1,"M","M",0,1,NA,0,0,0,0,"7","0","-203","-178259","351156","3150","1224834","622847","627960","0","97199","5000","627960","1322070","113","37","608397","422685","1350421","805226","-28351","-177266","351156","3150","351359","181409","-203","-178259","32726","2660","75462","0","511238",0,0,40,150000,0,0,150000,"2012",1.087
