"pnhwht12","pnhblk12","phisp12","pntv12","pfb12","polang12","phs12","pcol12","punemp12","pflabf12","pprof12","pmanuf12","pvet12","psemp12","hinc12","incpc12","ppov12","pown12","pvac12","pmulti12","mrent12","mhmval12","p30old12","p10yrs12","p18und12","p60up12","p75up12","pmar12","pwds12","pfhh12"
94.93000031,0,2.289999962,0.839999974,0.230000004,1.24000001,46.34000015,24.77000046,5.809999943,56.36999893,36.56999969,11.05000019,10.30000019,10.69999981,48667,22366,7.320000172,84.16000366,2.309999943,3.119999886,592,153900,49.08000183,55.66999817,24.78000069,22.51000023,6.480000019,63.13000107,21.70000076,10.18000031
14.72000027,81.65000153,0,0,3.049999952,2.940000057,58.75999832,9.340000153,13.01000023,64,20.82999992,9.460000038,8.859999657,7.480000019,37578,18515,18.39999962,72.84999847,13.06999969,8.989999771,494,85100,83.29000092,66.54000092,27.23999977,14.64999962,3.299999952,38.90000153,24.95999908,32.49000168
3.75,7.940000057,57.31999969,0,69.84999847,81.44000244,76.51000214,9.069999695,9.279999733,55.45000076,10.11999989,12.27999973,1.370000005,6.71999979,24083,11169,50.33000183,0.569999993,15.25,97.37999725,516,9999,81.44999695,90.43000031,29.34000015,8.619999886,2.329999924,39.47999954,13.77000046,16.02000046
68.83000183,1.840000033,16.64999962,0,20.55999947,25.87999916,4.46999979,85.43000031,4.420000076,56.79999924,77.01999664,4.320000172,4.230000019,10.06000042,161612,102343,11.14999962,33.38999939,26.18000031,99.25,2001,1000001,32.13000107,67.18000031,12.02999973,22.48999977,9.840000153,37.00999832,8.619999886,5.5
95.18000031,0,4.119999886,0.25,1.649999976,5.409999847,47.97000122,18.44000053,2.00999999,56.79999924,45.36000061,3.839999914,12.09000015,32.54000092,45478,26841,13.65999985,78.16999817,33.08000183,6.139999866,335,63000,72.36000061,49.16999817,19,29.79999924,11.67000008,70.30000305,14.69999981,3.559999943
12.47999954,2.180000067,83.15000153,0,19.30999947,65.76000214,50.11000061,18.54000092,8.590000153,59.59999847,29.20999908,5.349999905,9.239999771,7.329999924,46798,17687,12.07999992,66.12000275,2.99000001,20.82999992,735,122700,51.36000061,55.90000153,27.54000092,17.70000076,6.579999924,48.43000031,24.47999954,23.28000069
85.09999847,0.280000001,13.06999969,1.549999952,8.720000267,9.880000114,43.5,20.43000031,9.050000191,64.62999725,35.09000015,14.97000027,10.14000034,17.38999939,55583,32880,9.56000042,57.81999969,3.029999971,6.480000019,556,263100,41.88999939,65.33999634,23.44000053,20.54999924,4.440000057,59.68000031,12.65999985,18.87000084
66.06999969,14.59000015,16.75,0,16.93000031,15.23999977,50.04000092,14.53999996,10.02999973,53.72999954,26.62999916,10.32999992,15.17000008,4.619999886,42309,20627,13.42000008,82.93000031,19.17000008,4.769999981,835,107500,21.09000015,68.12000275,20.10000038,27.47999954,10.76000023,52.97000122,24.23999977,17.21999931
85.01000214,0.560000002,7.409999847,0,11.46000004,16,29.38999939,42.04999924,7.579999924,57.47999954,43.06000137,12.31999969,8.289999962,9.960000038,86424,34916,2.24000001,86.80000305,4.019999981,16.63999939,820,215600,92.73000336,38.31000137,22.72999954,24.89999962,8.31000042,57.81999969,16.27000046,5.889999866
61.20999908,0,32.54000092,1.080000043,14.60000038,31.57999992,40.16999817,27.51000023,9.619999886,65.08000183,25.57999992,9.68999958,9.529999733,19.37999916,62424,28729,16.76000023,61.56999969,11.85999966,8.25,1027,410100,39.72999954,66.83000183,27.20000076,17.62999916,3.569999933,61.66999817,15.5,6.860000134
